ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Molecular Species;Molecular Formula;Smiles;Inchi Key
CHEMBL1405;ESTRONE;1,3,5-ESTRATRIEN-3-OL-17-ONE|ESTRADIOL METABOLITE E1|ESTROGENIC SUBSTANCE|ESTRONE|Estrone|FOLLICULAR HORMONE|FOLLICULAR-HORMONE|FOLLICULIN|FOLLICULINUM|KETOHYDROXYESTRIN|NATURAL ESTROGENIC SUBSTANCE-ESTRONE|NSC-9699|OESTRONE|Oestrone|THELYKININ|TOKOKIN|Theelin|WAY 164397;Small molecule;4;270.37;182;589;3.82;37.30;2;1;0;0;N;0.78;10.33;None;4.31;4.31;1;MOL;0;20;2;1;0;2.701.620;NEUTRAL;C18H22O2;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O;DNXHEGUUPJUMQT-CBZIJGRNSA-N
CHEMBL1618;CEFAMANDOLE NAFATE;106223|CEFAMANDOLE NAFATE|CEFAMANDOLE NAFATE SODIUM|CEPHAMANDOLE NAFATE|Cefamandole Nafate sodium|Mandol|NSC-299588;Small molecule;4;512.51;6;26;-0.04;156.61;11;2;1;9;N;0.28;3.10;None;0.42;-3.04;2;MOL;0;33;12;2;1;4.900.729;ACID;C19H17N6NaO6S2;Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1.[Na+];ICZOIXFFVKYXOM-YCLOEFEOSA-M
CHEMBL3301627;TENAPANOR HYDROCHLORIDE;AZD-1722 HYDROCHLORIDE|AZD1722|AZD1722 hydrochloride|IBSRELA|RDX-5791|RDX5791|TENAPANOR DIHYDROCHLORIDE|TENAPANOR HYDROCHLORIDE;Small molecule;4;1217.99;8;50;None;None;None;None;None;None;None;None;None;None;None;None;None;MOL;0;None;None;None;None;11.423.097;None;C50H68Cl6N8O10S2;CN1Cc2c(Cl)cc(Cl)cc2[C@H](c2cccc(S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)c3cccc([C@@H]4CN(C)Cc5c(Cl)cc(Cl)cc54)c3)c2)C1.Cl.Cl;VFRAXTZDILCRKY-OWRGXFNZSA-N
CHEMBL1200493;NAFTIFINE HYDROCHLORIDE;AW 105-843|AW-105-843|Exoderil|NAFT-900|NAFT900|NAFTIFINE HCL|NAFTIFINE HYDROCHLORIDE|NSC-760068|Naftin;Small molecule;4;323.87;20;46;4.99;3.24;1;0;0;5;N;0.64;None;8.99;5.24;3.64;3;MOL;0;22;1;0;0;2.871.674;BASE;C21H22ClN;CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12.Cl;OLUNPKFOFGZHRT-YGCVIUNWSA-N
CHEMBL1200610;LORACARBEF;LORACARBEF|LORACARBEF MONOHYDRATE|LY-163892 MONOHYDRATE|LY163892 MONOHYDRATE|Lorabid;Small molecule;4;367.79;;;0.71;112.73;4;3;0;4;N;0.69;2.93;7.23;-2.40;-2.76;1;MOL;0;24;7;4;0;3.490.829;ACID;C16H18ClN3O5;N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O;GPYKKBAAPVOCIW-HSASPSRMSA-N
CHEMBL83668;TOLNAFTATE;Aftate|Dr. Scholl's Athlete's Foot Spray|MYCIL|NSC-233648|SCH 10144|SCH-10144|SEPARIN|TIMOPED|TINADERM|TINADERM PLUS|TINEAFAX|TOLNAFTATE|Tinactin|Tritin;Small molecule;4;307.42;145;367;4.95;12.47;2;0;0;2;N;0.62;None;0.08;5.75;5.75;3;MOL;0;22;2;0;0;3.071.031;NEUTRAL;C19H17NOS;Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1;FUSNMLFNXJSCDI-UHFFFAOYSA-N
CHEMBL130;CHLORAMPHENICOL;9-HYDROXY-9-PHENYLXANTHENE|9-PHENYL-9H-XANTHEN-9-OL|AMPHICOL|BROCHLOR|BROLENE ANTIBIOTIC|CHLORAMPHENICOL|CHLOROFAIR|CHLOROPTIC|CHLOROPTIC S.O.P.|Chloramex|Chloramphenicol|Chlorbiotic|Chloromycetin|ECONOCHLOR|GOLDEN EYE ANTIBIOTIC|KEMICETINE|KLORAFECT|Kernispray|MYCHEL|Mychel-S|NSC-16331|NSC-3069|OPHTHOCHLOR|OPTOMYCIN|SNO PHENICOL|TUBILUX INFECTED EYES|Tevcocin|XANTHEN-9-OL, 9-PHENYL-;Small molecule;4;323.13;428;5969;0.91;112.70;5;3;0;6;N;0.41;8.69;None;0.88;0.86;1;MOL;0;20;7;3;0;3.220.123;NEUTRAL;C11H12Cl2N2O5;O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl;WIIZWVCIJKGZOK-RKDXNWHRSA-N
CHEMBL1562610;MECLOFENAMATE SODIUM;CL-583.NA SALT|MECLODIUM|MECLOFENAMATE SODIUM|MECLOFENAMATE SODIUM ANHYDROUS|MECLOFENAMATE SODIUM HYDRATE|MECLOFENAMIC ACID SODIUM|Meclomen|NSC-757088|SODIUM MECLOFENAMATE|SODIUM MECLOFENAMATE MONOHYDRATE;Small molecule;4;336.15;16;35;4.74;49.33;2;2;0;3;N;0.86;3.79;None;6.09;2.82;2;MOL;0;19;3;2;0;2.950.167;ACID;C14H12Cl2NNaO3;Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+];QHJLLDJTVQAFAN-UHFFFAOYSA-M
CHEMBL1201260;BETHANIDINE;BETANIDINE|Bethanidine;Small molecule;4;177.25;1;1;0.98;36.42;1;2;0;2;Y;0.52;None;12.41;1.27;-1.15;1;MOL;0;13;3;2;0;1.771.266;BASE;C10H15N3;C/N=C(\NC)NCc1ccccc1;NIVZHWNOUVJHKV-UHFFFAOYSA-N
CHEMBL3183075;NIZATIDINE;ACINON|AXID AR|Axid|LY 139037|LY-139037|NIZATIDINE|NSC-759289|ZINGA 150|ZINGA 300;Small molecule;4;331.47;115;700;1.32;83.33;8;2;0;10;N;0.38;None;6.54;0.77;0.72;1;MOL;0;21;7;2;0;3.311.137;NEUTRAL;C12H21N5O2S2;CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1;SGXXNSQHWDMGGP-UHFFFAOYSA-N
CHEMBL1201342;METHIXENE;ATOSIL|METIXENE|Methixene;Small molecule;4;309.48;4;9;5.02;3.24;2;0;1;2;N;0.77;None;9.34;5.06;3.13;2;MOL;0;22;1;0;1;3.091.551;BASE;C20H23NS;CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1;MJFJKKXQDNNUJF-UHFFFAOYSA-N
CHEMBL1200391;TROMETHAMINE;NSC-6365|TRIS(HYDROXYMETHYL)AMINOMETHANE|TRIS-BASE|TRIZMA|TROMETAMOL|TROMETHAMINE|Tham;Small molecule;4;121.14;117;556;-2.34;86.71;4;4;0;3;N;0.34;None;8.95;-2.71;-4.26;0;MOL;0;8;4;5;0;1.210.739;BASE;C4H11NO3;NC(CO)(CO)CO;LENZDBCJOHFCAS-UHFFFAOYSA-N
CHEMBL849;TRICLOSAN;AQUASEPT|CH 3565|CH-3565|CLOXIFENOL|DNDI1246774|GAMOPHEN|INNOXA|MANUSEPT|NSC-759151|SKINSAN|Stri-Dex Cleansing Bar|Stri-Dex Face Wash|TEGUSEPT|TRICLOSAN;Small molecule;4;289.55;110;550;5.14;29.46;2;1;1;2;N;0.83;7.68;None;4.98;4.80;2;MOL;0;17;2;1;1;2.879.512;NEUTRAL;C12H7Cl3O2;Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl;XEFQLINVKFYRCS-UHFFFAOYSA-N
CHEMBL1374379;BENZONATATE;BENZONATATE|NSC-760128|Tessalon;Small molecule;4;603.75;19;37;2.83;121.40;12;1;2;32;N;0.10;None;3.47;2.35;2.35;1;MOL;0;42;12;1;2;6.033.619;NEUTRAL;C30H53NO11;CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1;MAFMQEKGGFWBAB-UHFFFAOYSA-N
CHEMBL125;MILTEFOSINE;D-18506|HDPC|IMPAVIDO|MILTEFOSINE|Miltefosine|Miltex|NSC-605583|NSC-758968;Small molecule;4;407.58;200;1419;5.68;58.59;4;0;1;20;N;0.15;1.88;None;2.25;4.27;0;MOL;0;27;5;0;1;4.073.164;ACID;C21H46NO4P;CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C;PQLXHQMOHUQAKB-UHFFFAOYSA-N
CHEMBL1201002;CARTEOLOL HYDROCHLORIDE;ABBOTT-43326|CARTEOLOL HCL|CARTEOLOL HYDROCHLORIDE|Cartrol|NSC-300906|OPC-1085|Ocupress|TEOPTIC;Small molecule;4;328.84;5;13;1.70;70.59;4;3;0;5;N;0.77;13.41;9.76;1.42;-0.89;1;MOL;0;21;5;3;0;2.921.787;BASE;C16H25ClN2O3;CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl;FYBXRCFPOTXTJF-UHFFFAOYSA-N
CHEMBL53418;DANTHRON;CHRYSAZIN|DANTHRON|DANTRON|Danthron|Dorbane|Istizin|NSC-38626|NSC-646568|PILULES VINCHY N.F.;Small molecule;4;240.21;120;238;1.87;74.60;4;2;0;0;N;0.63;7.89;None;3.61;3.48;2;MOL;0;18;4;2;0;2.400.423;NEUTRAL;C14H8O4;O=C1c2cccc(O)c2C(=O)c2c(O)cccc21;QBPFLULOKWLNNW-UHFFFAOYSA-N
CHEMBL170988;PHENFORMIN;PHENFORMIN;Small molecule;4;205.26;41;135;0.24;97.78;2;5;0;3;N;0.36;None;11.97;0.83;-3.73;1;MOL;0;15;5;6;1;2.051.327;BASE;C10H15N5;N=C(N)NC(=N)NCCc1ccccc1;ICFJFFQQTFMIBG-UHFFFAOYSA-N
CHEMBL447629;MITOBRONITOL;DBM|DIBROMOMANNITOL|MITOBRONITOL|MYEBROL|MYELOBROMOL|NSC-94100;Small molecule;4;307.97;9;10;-0.78;80.92;4;4;0;5;N;0.50;12.63;None;-0.65;-0.65;0;MOL;0;12;4;4;0;3.059.102;NEUTRAL;C6H12Br2O4;O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr;VFKZTMPDYBFSTM-KVTDHHQDSA-N
CHEMBL416956;MEFLOQUINE;GNF-Pf-5544|Lariam|MEFLOQUINE|Mefaquin|Mefloquine|NSC-758233|RO 21-5998|RO-215998|WR 142,490;Small molecule;4;378.32;72;719;4.45;45.15;3;2;0;2;N;0.76;13.79;9.46;4.11;2.07;2;MOL;0;26;3;2;0;3.781.167;BASE;C17H16F6N2O;OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1;XEEQGYMUWCZPDN-UHFFFAOYSA-N
CHEMBL1206690;PARECOXIB;PARECOXIB|RAYZON|SC-69124|XAPIT;Small molecule;4;370.43;7;34;3.53;89.27;5;1;0;5;N;0.74;4.24;0.42;3.51;2.57;3;MOL;0;26;6;1;0;3.700.987;ACID;C19H18N2O4S;CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1;TZRHLKRLEZJVIJ-UHFFFAOYSA-N
CHEMBL3989517;IOFLUPANE I 123;(123I)FP-CIT|DaTscan|FP-CIT I-123|IODINE IOFLUPANE (123I)|IOFLUPANE (123I)|IOFLUPANE (123L)|IOFLUPANE (SUP 123)I|IOFLUPANE I 123|IOFLUPANE I-123|IOFLUPANE, I-123|V-09AB03|V09AB03;Small molecule;4;427.29;;;3.76;29.54;3;0;0;5;N;0.53;None;9.46;3.70;1.66;1;MOL;0;23;3;0;0;4.310.758;BASE;C18H23FINO2;COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF;HXWLAJVUJSVENX-HFIFKADTSA-N
CHEMBL1200412;NANDROLONE PHENPROPIONATE;Durabolin|NANDROLONE PHENPROPIONATE|NANDROLONE PHENYLPROPIONATE|NORANDROSTENOLONE PHENYLPROPIONATE|NORTESTOSTERONE FURANPROPIONATE|NORTESTOSTERONE PHENYLPROPIONATE;Small molecule;4;406.57;2;9;5.67;43.37;3;0;1;4;N;0.60;None;None;5.79;5.79;1;MOL;0;30;3;0;1;4.062.508;NEUTRAL;C27H34O3;C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCc1ccccc1;UBWXUGDQUBIEIZ-QNTYDACNSA-N
CHEMBL1200776;CINACALCET HYDROCHLORIDE;AMG-073|AMG-073 HCL|AMG073 HCL|AMG073 HYDROCHLORIDE|CINACALCET HCL|CINACALCET HYDROCHLORIDE|MIMPARA|Sensipar;Small molecule;4;393.88;10;1072;6.14;12.03;1;1;1;6;N;0.52;None;10.01;6.27;3.75;3;MOL;0;26;1;1;1;3.571.704;BASE;C22H23ClF3N;C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl;QANQWUQOEJZMLL-PKLMIRHRSA-N
CHEMBL1675;VITAMIN A PALMITATE;AFAXIN|ALL-(E)-RETINOL PALMITATE|ALPHALIN|AQUASOL A|DEL-VI-A|NSC-758478|RETINOL, HEXADECANOATE|RETINOL, PALMITATE, ALL-TRANS|RETINYL PALMITATE|VI-DOM-A|VITAMIN A|VITAMIN A PALMITATE|VITAMIN A SOLUBILIZED;Small molecule;4;524.87;13;17;11.54;26.30;2;0;2;20;N;0.09;None;None;11.62;11.62;0;MOL;0;38;2;0;2;5.244.593;None;C36H60O2;CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C;VYGQUTWHTHXGQB-FFHKNEKCSA-N
CHEMBL515606;CILAZAPRIL;ANHYDROUS CILAZAPRIL|CILAZAPRIL|CILAZAPRIL ANHYDROUS|CILAZAPRIL HYDRATE|CILAZAPRIL MONOHYDRATE|CILAZAPRILUM|INITISS|Inhibace|JUSTOR|RO 31-2848/006|RO-312848006|VASCACE;Small molecule;4;417.51;8;47;1.60;99.18;6;2;0;8;N;0.62;3.40;5.06;0.22;-1.45;1;MOL;0;30;8;2;0;4.172.264;ACID;C22H31N3O5;CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O;HHHKFGXWKKUNCY-FHWLQOOXSA-N
CHEMBL282575;ESTRADIOL BENZOATE;BENZESTROFOL|BENZOGYNESTRYL|BENZTRONE|BETA-ESTRADIOL BENZOATE|DIFOLLICULIN|ESTRADIOL 3-BENZOATE|ESTRADIOL BENZOATE|ESTRADIOL MONOBENZOATE|Estradiol benzoate|FOLLIDRIN|NSC-9566|OESTRADIOL BENZOATE|PROGYNON B OLEOSO;Small molecule;4;376.50;133;1130;5.12;46.53;3;1;1;2;N;0.58;None;None;5.71;5.71;2;MOL;0;28;3;1;1;3.762.038;NEUTRAL;C25H28O3;C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O;UYIFTLBWAOGQBI-BZDYCCQFSA-N
CHEMBL24072;PRENYLAMINE;B-436|PRENYLAMINE|PRENYLAMINE LACTATE;Small molecule;4;329.49;13;45;5.43;12.03;1;1;1;8;N;0.58;None;10.48;6.12;3.26;3;MOL;0;25;1;1;1;3.292.143;BASE;C24H27N;CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1;IFFPICMESYHZPQ-UHFFFAOYSA-N
CHEMBL1200850;GANCICLOVIR SODIUM;CYTOVENE|CYTOVENE IV|GANCICLOVIR|GANCICLOVIR (AS SODIUM)|GANCICLOVIR SODIUM|GANCICLOVIR SODIUM SALT|RS-21592 SODIUM;Small molecule;4;277.22;;;-1.56;139.54;9;4;0;5;N;0.50;11.58;1.01;-1.19;-1.19;2;MOL;0;18;9;5;0;2.550.968;NEUTRAL;C9H12N5NaO4;Nc1nc([O-])c2ncn(COC(CO)CO)c2n1.[Na+];JJICLMJFIKGAAU-UHFFFAOYSA-M
CHEMBL1650;CORTISONE ACETATE;CORTATE|CORTELAN|CORTISONE|CORTISONE 21-ACETATE|CORTISONE ACETATE|CORTISONE ACETICUM|CORTISTAB|CORTISYL|Cortisone Acetate|Cortone|NSC-49420;Small molecule;4;402.49;128;306;2.56;97.74;6;1;0;3;N;0.73;12.60;None;2.10;2.10;0;MOL;0;29;6;1;0;4.022.042;NEUTRAL;C23H30O6;CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C;ITRJWOMZKQRYTA-RFZYENFJSA-N
CHEMBL46058;ETHYL CHLORIDE;CHLOROETHANE|ETHYL CHLORIDE|Ethyl Chloride;Small molecule;4;64.52;3;4;1.25;0.00;0;0;0;0;Y;0.37;None;None;1.19;1.19;0;MOL;0;3;0;0;0;640.080;None;C2H5Cl;CCCl;HRYZWHHZPQKTII-UHFFFAOYSA-N
CHEMBL86;METOCLOPRAMIDE;Clopra|Clopra-'Yellow'|ELIETEN|METHOXYCLOPRAMIDE|METOCLOPRAMIDE|Maxolon|Metoclopramide|Reglan|TERPERAN;Small molecule;4;299.80;176;823;2.00;67.59;4;2;0;7;N;0.76;None;9.04;1.40;-0.25;1;MOL;0;20;5;3;0;2.991.401;BASE;C14H22ClN3O2;CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC;TTWJBBZEZQICBI-UHFFFAOYSA-N
CHEMBL1098659;WATER;ADELHEID AQUA|ADELHEIDSQUELLE|AQUA ADELHEID|AQUA PRO INJECTIONE|AQUA PURIFICATA|AQUA STERILISATA PRO INJECTIONE|AQUA WIESBADEN|AQUA WILDBAD|B1217|NSC-147337|PUR-WASH|PURIFIED WATER|R-718|STERILE PURIFIED WATER|STERILE WATER|STERILE WATER FOR INHALATION|STERILE WATER FOR INJECTION|STERILE WATER FOR INJECTIONS|STERILE WATER FOR IRRIGATION|ULTREX II ULTRAPURE|WATER|WATER FOR HEMODIALYSIS|WATER FOR INHALATION, STERILE|WATER FOR INJECTION|WATER FOR INJECTIONS|WATER FOR IRRIGATION,STERILE|WATER PURIFIED|WATER, DEIONIZED|WATER, PURIFIED|WATER, PURIFIED STERILE|WATER, STERILE PURIFIED|WATER,BACTERIOSTATIC|WATER,BACTERIOSTATIC INJECTION|WATER,DEIONIZED|WATER,DISTILLED|WATER,PURIFIED|WATER,SANITIZED|WATER,STERILE|WIESBADEN|WIESBADEN AQUA|WILDBAD AQUA;Small molecule;4;18.02;3;3;-0.82;31.50;0;0;0;0;Y;0.33;None;None;-0.65;-0.65;0;MOL;0;1;1;2;0;180.106;NEUTRAL;H2O;O;XLYOFNOQVPJJNP-UHFFFAOYSA-N
CHEMBL1201777;TAPENTADOL HYDROCHLORIDE;BN-200 HYDROCHLORIDE|CG-5503 HYDROCHLORIDE|CG5503 HYDROCHLORIDE|NUCYNTA|NUCYNTA ER|PALEXIA|TAPENTADOL HCL|TAPENTADOL HYDROCHLORIDE;Small molecule;4;257.81;3;22;3.08;23.47;2;1;0;5;N;0.83;10.28;9.60;2.96;1.07;1;MOL;0;16;2;1;0;2.211.780;BASE;C14H24ClNO;CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C.Cl;ZELFLGGRLLOERW-YECZQDJWSA-N
CHEMBL1229517;VEMURAFENIB;PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|VEMURAFENIB|ZELBORAF;Small molecule;4;489.93;332;614;5.54;91.92;4;2;1;7;N;0.33;8.87;2.30;4.62;4.61;4;MOL;0;33;6;2;1;4.890.725;NEUTRAL;C23H18ClF2N3O3S;CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F;GPXBXXGIAQBQNI-UHFFFAOYSA-N
CHEMBL290106;BITHIONOL;BITHIN|BITHIONOL|Lorothidol|NSC-47129;Small molecule;4;356.06;188;944;5.86;40.46;3;2;1;2;N;0.71;4.89;None;5.97;3.98;2;MOL;0;19;2;2;1;3.538.843;ACID;C12H6Cl4O2S;Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O;JFIOVJDNOJYLKP-UHFFFAOYSA-N
CHEMBL601719;CRIZOTINIB;CRIZOTINIB|NSC-756645|PF-02341066|PF-2341066|XALKORI;Small molecule;4;450.35;1132;2245;5.04;77.99;6;2;1;5;N;0.53;None;10.12;3.57;0.95;3;MOL;0;30;6;3;1;4.491.185;BASE;C21H22Cl2FN5O;C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl;KTEIFNKAUNYNJU-GFCCVEGCSA-N
CHEMBL1201780;CARGLUMIC ACID;CARBAGLU|CARGLUMIC ACID|N-CARBAMYL-L-GLUTAMIC ACID|NSC-760124|OE 312|OE 312 (LABORATORY CODE DESIGNATION)|OE-312;Small molecule;4;190.16;4;13;-1.03;129.72;3;4;0;5;N;0.44;3.36;None;-1.45;-7.92;0;MOL;0;13;7;5;0;1.900.590;ACID;C6H10N2O5;NC(=O)N[C@@H](CCC(=O)O)C(=O)O;LCQLHJZYVOQKHU-VKHMYHEASA-N
CHEMBL3989406;ENALAPRILAT;ENALAPRIL DIACID DIHYDRATE|ENALAPRIL DIACID DIHYDRATE ANHYDROUS|ENALAPRILAT|ENALAPRILAT DIHYDRATE|MK-422|NSC-760053|VASOTEC I.V.|Vasotec;Small molecule;4;384.43;1;1;1.13;106.94;4;3;0;8;N;0.65;3.13;7.83;-1.05;-4.01;1;MOL;0;25;7;3;0;3.481.685;ACID;C18H28N2O7;C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O.O.O;MZYVOFLIPYDBGD-MLZQUWKJSA-N
CHEMBL1201256;TRIMETHOBENZAMIDE;AMETIK DAMLA|TRIMETHOBENZAMIDE;Small molecule;4;388.46;12;33;2.58;69.26;6;1;0;10;N;0.67;None;8.77;2.16;0.77;2;MOL;0;28;7;1;0;3.881.998;BASE;C21H28N2O5;COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC;FEZBIKUBAYAZIU-UHFFFAOYSA-N
CHEMBL3545363;GLECAPREVIR;A-1282576|A-1282576.0|A-12825760|ABT-493|GLECAPREVIR;Small molecule;4;838.88;2;4;3.86;195.22;11;3;2;6;N;0.28;3.74;None;3.95;3.01;2;MOL;0;58;15;3;2;8.382.983;ACID;C38H46F4N6O9S;CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O;MLSQGNCUYAMAHD-ITNVBOSISA-N
CHEMBL3707208;FERROUS GLYCINE SULFATE;FE-CAP|FERROCONTIN CONTINUS|FERROUS GLYCINE SULFATE|FERROUS GLYCINE SULPHATE|IRON(II) GLYCINE SULFATE|KELFERON|PLESMET;Small molecule;4;302.04;;;None;None;None;None;None;None;None;None;None;None;None;None;None;NONE;0;None;None;None;None;3.019.507;None;C4H10FeN2O8S;;
CHEMBL75880;PERHEXILINE;PERHEXILINE;Small molecule;4;277.50;132;1916;5.30;12.03;1;1;1;4;N;0.74;None;10.58;5.53;2.62;0;MOL;0;20;1;1;1;2.772.770;BASE;C19H35N;C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;CYXKNKQEMFBLER-UHFFFAOYSA-N
CHEMBL1200534;MOEXIPRIL HYDROCHLORIDE;CI 925|CI-925|MOEXIPRIL HCL|MOEXIPRIL HYDROCHLORIDE|PERDIX|RS-10085-197|SPM 925|SPM-925|Univasc;Small molecule;4;535.04;4;18;2.58;114.40;7;2;0;11;N;0.45;3.46;5.20;1.50;-0.08;2;MOL;0;36;9;2;0;4.982.366;ACID;C27H35ClN2O7;CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O.Cl;JXRAXHBVZQZSIC-JKVLGAQCSA-N
CHEMBL1213165;DOLUTEGRAVIR SODIUM;DOLUTEGRAVIR SODIUM|DOLUTEGRAVIR SODIUM SALT|DOVATO|GSK-1349572|GSK-1349572A|GSK1349572A|TIVICAY|TIVICAY PD;Small molecule;4;441.37;21;203;1.35;100.87;6;2;0;3;N;0.78;10.10;None;1.10;1.10;2;MOL;0;30;8;2;0;4.191.293;NEUTRAL;C20H18F2N3NaO5;C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N21.[Na+];UGWJRRXTMKRYNK-VSLILLSYSA-M
CHEMBL469;KETOROLAC;KETOROLAC|Ketorolac;Small molecule;4;255.27;132;773;2.29;59.30;3;1;0;3;Y;0.86;3.84;None;2.28;-0.96;2;MOL;0;19;4;1;0;2.550.895;ACID;C15H13NO3;O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O;OZWKMVRBQXNZKK-UHFFFAOYSA-N
CHEMBL1490;TRIHEXYPHENIDYL;APO-TRIHEX|NSC-12268|TRIHEXYPHENIDYL|Trihexyphenidyl;Small molecule;4;301.47;120;786;4.33;23.47;2;1;0;5;N;0.87;13.84;9.32;4.23;2.32;1;MOL;0;22;2;1;0;3.012.406;BASE;C20H31NO;OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1;HWHLPVGTWGOCJO-UHFFFAOYSA-N
CHEMBL894;BUPROPION;AMFEBUTAMONE|BUPROPION|BUPROPION EXTENDED RELEASE|BUPROPION SLOW RELEASE|Bupropion|NSC-758686;Small molecule;4;239.75;143;898;3.30;29.10;2;1;0;3;N;0.82;None;8.22;3.27;2.39;1;MOL;0;16;2;1;0;2.391.077;NEUTRAL;C13H18ClNO;CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1;SNPPWIUOZRMYNY-UHFFFAOYSA-N
CHEMBL1201016;CEFPODOXIME PROXETIL;BANAN|CEFPODOXIME PROXETIL|CS-807|NSC-759161|U-76252|Vantin;Small molecule;4;557.61;24;78;0.83;180.97;14;2;2;10;N;0.14;10.99;3.28;1.33;1.33;1;MOL;0;37;14;3;2;5.571.250;NEUTRAL;C21H27N5O9S2;COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1;LTINZAODLRIQIX-FBXRGJNPSA-N
CHEMBL2104607;NIKETHAMIDE;CARDITONIC|Coramine|NICETHAMIDE|NIKETHAMIDE|NSC-130820|Nikethyl;Small molecule;4;178.24;6;15;1.56;33.20;2;0;0;3;Y;0.70;None;3.61;0.77;0.77;1;MOL;0;13;3;0;0;1.781.106;NEUTRAL;C10H14N2O;CCN(CC)C(=O)c1cccnc1;NCYVXEGFNDZQCU-UHFFFAOYSA-N
